[2026-04-09 21:51:47] starting d12_untied_defaulttokens
2026-04-09 21:51:50,114 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 1
2026-04-09 21:51:50,115 - nanochat.common - [33m[1mWARNING[0m - Peak flops undefined for: NVIDIA GeForce RTX 3080, MFU will show as 0%

                                                       █████                █████
                                                      ░░███                ░░███
     ████████    ██████   ████████    ██████   ██████  ░███████    ██████  ███████
    ░░███░░███  ░░░░░███ ░░███░░███  ███░░███ ███░░███ ░███░░███  ░░░░░███░░░███░
     ░███ ░███   ███████  ░███ ░███ ░███ ░███░███ ░░░  ░███ ░███   ███████  ░███
     ░███ ░███  ███░░███  ░███ ░███ ░███ ░███░███  ███ ░███ ░███  ███░░███  ░███ ███
     ████ █████░░████████ ████ █████░░██████ ░░██████  ████ █████░░███████  ░░█████
    ░░░░ ░░░░░  ░░░░░░░░ ░░░░ ░░░░░  ░░░░░░   ░░░░░░  ░░░░ ░░░░░  ░░░░░░░░   ░░░░░
    
Autodetected device type: cuda
GPU: NVIDIA GeForce RTX 3080 | Peak FLOPS (BF16): inf
COMPUTE_DTYPE: torch.bfloat16 (auto-detected: CUDA SM 86 (bf16 supported))
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
WARNING: Flash Attention 3 not available, using PyTorch SDPA fallback
WARNING: Training will be less efficient without FA3
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Vocab size: 32,768
Model config:
{
  "sequence_len": 2048,
  "vocab_size": 32768,
  "n_layer": 12,
  "n_head": 6,
  "n_kv_head": 6,
  "n_embd": 768,
  "window_pattern": "L",
  "tie_layers_start": null,
  "tie_layers_end": null,
  "tie_layers_stride": null
}
Parameter counts:
wte                     : 25,165,824
value_embeds            : 150,994,944
lm_head                 : 25,165,824
transformer_matrices    : 84,935,088
scalars                 : 50
total                   : 286,261,730
Estimated FLOPs per token: 8.870979e+08
Scaling the LR for the AdamW parameters ∝1/√(768/768) = 1.000000
Using user-provided number of iterations: 2,520
Total number of training tokens: 1,321,205,760
Tokens : Scaling params ratio: 12.00
Total training FLOPs estimate: 1.172039e+18
Tokens / micro-batch / rank: 16 x 2048 = 32,768
Tokens / micro-batch: 32,768
Total batch size 524,288 => gradient accumulation steps: 16
step 00000/02520 (0.00%) | loss: 10.398113 | lrm: 0.03 | dt: 31862.77ms | tok/sec: 16,454 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00001/02520 (0.04%) | loss: 10.385498 | lrm: 0.05 | dt: 8876.66ms | tok/sec: 59,063 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.00m
step 00002/02520 (0.08%) | loss: 10.363575 | lrm: 0.07 | dt: 8925.63ms | tok/sec: 58,739 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 0.00m
step 00003/02520 (0.12%) | loss: 10.331834 | lrm: 0.10 | dt: 8933.22ms | tok/sec: 58,689 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 0.00m
step 00004/02520 (0.16%) | loss: 10.285665 | lrm: 0.12 | dt: 8942.73ms | tok/sec: 58,627 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 5 | total time: 0.00m
step 00005/02520 (0.20%) | loss: 10.209826 | lrm: 0.15 | dt: 8914.30ms | tok/sec: 58,814 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 6 | total time: 0.00m
step 00006/02520 (0.24%) | loss: 10.110234 | lrm: 0.17 | dt: 8889.02ms | tok/sec: 58,981 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 7 | total time: 0.00m
step 00007/02520 (0.28%) | loss: 9.956340 | lrm: 0.20 | dt: 8884.99ms | tok/sec: 59,008 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 8 | total time: 0.00m
step 00008/02520 (0.32%) | loss: 9.720938 | lrm: 0.23 | dt: 8895.23ms | tok/sec: 58,940 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 9 | total time: 0.00m
step 00009/02520 (0.36%) | loss: 9.439754 | lrm: 0.25 | dt: 8907.24ms | tok/sec: 58,860 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 11 | total time: 0.00m
step 00010/02520 (0.40%) | loss: 9.130240 | lrm: 0.28 | dt: 8915.30ms | tok/sec: 58,807 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 12 | total time: 0.00m
step 00011/02520 (0.44%) | loss: 8.837624 | lrm: 0.30 | dt: 8923.88ms | tok/sec: 58,751 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 13 | total time: 0.15m | eta: 373.2m
step 00012/02520 (0.48%) | loss: 8.594419 | lrm: 0.33 | dt: 8944.35ms | tok/sec: 58,616 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 14 | total time: 0.30m | eta: 373.4m
step 00013/02520 (0.52%) | loss: 8.352957 | lrm: 0.35 | dt: 8971.21ms | tok/sec: 58,441 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 15 | total time: 0.45m | eta: 373.8m
step 00014/02520 (0.56%) | loss: 8.143328 | lrm: 0.38 | dt: 8976.95ms | tok/sec: 58,403 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 16 | total time: 0.60m | eta: 374.0m
step 00015/02520 (0.60%) | loss: 7.949972 | lrm: 0.40 | dt: 8984.37ms | tok/sec: 58,355 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 17 | total time: 0.75m | eta: 374.1m
step 00016/02520 (0.63%) | loss: 7.763372 | lrm: 0.42 | dt: 8988.48ms | tok/sec: 58,328 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 18 | total time: 0.90m | eta: 374.1m
step 00017/02520 (0.67%) | loss: 7.612132 | lrm: 0.45 | dt: 8991.93ms | tok/sec: 58,306 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 19 | total time: 1.05m | eta: 374.1m
step 00018/02520 (0.71%) | loss: 7.457688 | lrm: 0.47 | dt: 8995.65ms | tok/sec: 58,282 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 20 | total time: 1.20m | eta: 374.1m
step 00019/02520 (0.75%) | loss: 7.322710 | lrm: 0.50 | dt: 8996.48ms | tok/sec: 58,277 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 21 | total time: 1.35m | eta: 374.1m
step 00020/02520 (0.79%) | loss: 7.194373 | lrm: 0.53 | dt: 8998.77ms | tok/sec: 58,262 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 22 | total time: 1.50m | eta: 374.1m
step 00021/02520 (0.83%) | loss: 7.070939 | lrm: 0.55 | dt: 9024.54ms | tok/sec: 58,095 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 23 | total time: 1.65m | eta: 374.1m
step 00022/02520 (0.87%) | loss: 6.962710 | lrm: 0.57 | dt: 9019.88ms | tok/sec: 58,125 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 24 | total time: 1.80m | eta: 374.1m
step 00023/02520 (0.91%) | loss: 6.859089 | lrm: 0.60 | dt: 9024.09ms | tok/sec: 58,098 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 25 | total time: 1.95m | eta: 374.0m
step 00024/02520 (0.95%) | loss: 6.765748 | lrm: 0.62 | dt: 9022.66ms | tok/sec: 58,107 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 27 | total time: 2.10m | eta: 374.0m
step 00025/02520 (0.99%) | loss: 6.687009 | lrm: 0.65 | dt: 9029.04ms | tok/sec: 58,066 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 28 | total time: 2.25m | eta: 374.0m
step 00026/02520 (1.03%) | loss: 6.605478 | lrm: 0.68 | dt: 9026.36ms | tok/sec: 58,084 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 29 | total time: 2.40m | eta: 373.9m
step 00027/02520 (1.07%) | loss: 6.522216 | lrm: 0.70 | dt: 9031.02ms | tok/sec: 58,054 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 30 | total time: 2.55m | eta: 373.8m
step 00028/02520 (1.11%) | loss: 6.461431 | lrm: 0.72 | dt: 9028.36ms | tok/sec: 58,071 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 31 | total time: 2.70m | eta: 373.7m
step 00029/02520 (1.15%) | loss: 6.414306 | lrm: 0.75 | dt: 9035.83ms | tok/sec: 58,023 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 32 | total time: 2.85m | eta: 373.7m
step 00030/02520 (1.19%) | loss: 6.356780 | lrm: 0.78 | dt: 9051.71ms | tok/sec: 57,921 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 33 | total time: 3.00m | eta: 373.6m
step 00031/02520 (1.23%) | loss: 6.310820 | lrm: 0.80 | dt: 9052.09ms | tok/sec: 57,919 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 34 | total time: 3.15m | eta: 373.6m
